Region;City_size;Gender;Age;School;Marital_status;Employ;Owner;Pensioner;Student;Education;Lang_English;Lang_Others;Driver;Field_of_activity;Position;Work_Days;Work_Hour;Social_position;Satisf_degree;Health;Help_overcome;Level_material_security;Level_prof;Level_adapt;Level_depend;Social_status;Social_stratum;Number_ living_with;Money_need;Monetary_receipts;Housing;Life_change
Коми;Областной центр;Женский;67;Республ., краевой, обл. центр;Вдова (вдовец);Нет;Нет;Да;Нет;Общее среднее;Не владею;коми;Нет;;;;;Низкое;Не удовлетворены;Плохое;Связи, знакомства;1.0;2.0;1.0;1.0;1.0;Низший  слой;1.0;1500.0;700.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;23;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, могу объясняться;;Да;Опт. торговля, закупки;Служащий, ИТР;5.0;7.0;Среднее;Скорее, удовлетв.;Хорошее;Образование. профессия;6.0;7.0;7.0;8.0;6.0;Выше среднего;3.0;12000.0;7000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;42;Село;Женат, замужем;Да;Нет;Нет;Нет;Высшее, без уч. степени;Не владею;коми;Нет;ЖКХ;Служащий, ИТР;5.0;7.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Связи, знакомства;4.0;7.0;6.0;3.0;4.0;Ниже среднего;4.0;8000.0;3500.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;60;Республ., краевой, обл. центр;Женат, замужем;Нет;Нет;Да;Нет;Общее среднее;Не владею;коми;Да;;;;;Низкое;Не удовлетворены;Удовлетв.;Поддержка семьи;3.0;9.0;3.0;1.0;3.0;Ниже среднего;2.0;2500.0;1200.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;29;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;Розн. торг.,общ. пит., бытовое обсл.;Служащий, ИТР;6.0;8.0;Среднее;Скорее, удовлетв.;Отличное;Связи, знакомства;5.0;9.0;7.0;7.0;5.0;Средний слой;3.0;6000.0;3000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;27;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Общее среднее;Не владею;коми;Да;Розн. торг.,общ. пит., бытовое обсл.;Руководитель отдела;7.0;12.0;Высокое;Удовлетворены;Отличное;Связи, знакомства;7.0;7.0;9.0;9.0;7.0;Выше среднего;3.0;15000.0;12000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;59;Республ., краевой, обл. центр;Вдова (вдовец);Нет;Нет;Да;Нет;Общее среднее;Не владею;коми;Нет;;;;;Низкое;Не удовлетворены;Плохое;Другое;2.0;5.0;2.0;1.0;2.0;Низший  слой;1.0;1800.0;800.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;30;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;Культура, искусство;Служащий, ИТР;6.0;6.0;Среднее;Скорее, удовлетв.;Хорошее;Поддержка семьи;5.0;5.0;4.0;4.0;5.0;Средний слой;4.0;10000.0;6000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;20;Республ., краевой, обл. центр;Не состоял в браке;Нет;Нет;Нет;Да;Общее среднее;Читаю, перевожу со словарем;;Нет;;;;;Среднее;Скорее, удовлетв.;Отличное;Связи, знакомства;6.0;1.0;1.0;1.0;6.0;Выше среднего;4.0;15000.0;5000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Мужской;55;Город респ., краев.,обл. подчин.;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;;Да;;;;;Среднее;Скорее, удовлетв.;Плохое;Связи, знакомства;5.0;7.0;8.0;8.0;5.0;Средний слой;3.0;17000.0;6000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;60;Республ., краевой, обл. центр;Вдова (вдовец);Да;Нет;Да;Нет;Высшее, без уч. степени;Не владею;;Нет;Др. отрасли промышл.;Руководитель отдела;5.0;9.0;Среднее;Скорее, удовлетв.;Отличное;Другое;5.0;7.0;7.0;9.0;3.0;Средний слой;1.0;5000.0;3200.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;35;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;Строит.,транспорт;Руководитель отдела;5.0;8.0;Среднее;Скорее, не удовлетв.;Хорошее;Связи, знакомства;3.0;6.0;5.0;9.0;5.0;Средний слой;3.0;15000.0;17000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;21;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;Строит.,транспорт;Служащий, ИТР;5.0;11.0;Среднее;Скорее, не удовлетв.;Хорошее;Образование. профессия;5.0;5.0;5.0;8.0;5.0;Средний слой;1.0;10000.0;4000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;25;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;Здравоохранение;Служащий, ИТР;5.0;7.0;Среднее;Скорее, не удовлетв.;Хорошее;Образование. профессия;3.0;5.0;7.0;8.0;5.0;Средний слой;4.0;15000.0;7000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Мужской;55;Город респ., краев.,обл. подчин.;Разведен(а);Да;Нет;Да;Нет;Высшее, без уч. степени;Не владею;;Нет;Здравоохранение;Руководитель отдела;7.0;10.0;Высокое;Удовлетворены;Хорошее;Образование. профессия;7.0;9.0;9.0;9.0;8.0;Верхний слой;1.0;10000.0;5000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;59;Республ., краевой, обл. центр;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;;;;;Низкое;Не удовлетворены;Плохое;Связи, знакомства;3.0;7.0;3.0;2.0;2.0;Ниже среднего;2.0;5000.0;2600.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;24;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;Розн. торг.,общ. пит., бытовое обсл.;Рабочий;7.0;7.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Связи, знакомства;3.0;5.0;9.0;4.0;5.0;Средний слой;4.0;15000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;52;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;Сельское, лесное хоз-во;Рабочий;6.0;8.0;Среднее;Затр. отв;Хорошее;Образование. профессия;2.0;9.0;9.0;5.0;4.0;Средний слой;3.0;10000.0;4000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;63;Село;Женат, замужем;Нет;Нет;Да;Нет;Неполное среднее;Не владею;;Нет;;;;;Низкое;Не удовлетворены;Плохое;Поддержка семьи;1.0;7.0;6.0;1.0;6.0;Ниже среднего;2.0;5000.0;1900.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;29;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Читаю, перевожу со словарем;;Да;Финансы, кредит.,страхов.;Рабочий;6.0;8.0;Низкое;Не удовлетворены;Хорошее;Образование. профессия;2.0;7.0;5.0;5.0;2.0;Ниже среднего;3.0;6000.0;1100.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Мужской;62;Республ., краевой, обл. центр;Разведен(а);Да;Да;Да;Нет;Среднее спец.;Не владею;коми;Да;Строит.,транспорт;Рабочий;6.0;7.0;Низкое;Скорее, не удовлетв.;Удовлетв.;Образование. профессия;1.0;9.0;1.0;3.0;4.0;Ниже среднего;2.0;5000.0;3400.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;28;Село;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;немецкий;Да;Строит.,транспорт;Рабочий;5.0;8.0;Среднее;Затр. отв;Удовлетв.;Связи, знакомства;6.0;6.0;8.0;8.0;6.0;Средний слой;5.0;15000.0;2000.0;Отдельная кварт.;Не изменится
